ID;Gender;Inst_HUN;Pr_area_ENG;Pr_HUN;Pr_ENG_bachelor;Grad_level;FEOR4;FEOR3;ISCO1;ISCO3;ISCO1_ENG;ISCO3_ENG;Req_HEd;NUTS_region;Weekly_hrs;Mountly_wage_HUF
7269;M;Általános Vállalkozási Fõiskola;Economic Science;gazdálkodási és menedzsment;Business management;B;5132;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU101;30;76000
7270;F;Szolnoki Fõiskola;Economic Science;kereskedelem és marketing;Commerce and marketing;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;40;875000
7271;M;Szegedi Tudományegyetem;Arts;elõadómûvészet;Performing arts;B;2493;249;2;235;Professionals;Other teaching professionals;1;HU333;22;66500
7272;F;Budapesti Corvinus Egyetem;Economic Science;nemzetközi gazdaság és gazdálkodás;NA;M;2521;252;2;242;Professionals;Administration professionals;1;HU101;40;359100
7273;M;Debreceni Egyetem;Informatics;programtervezõ matematikus;NA;E;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU101;40;420000
7274;M;Debreceni Egyetem;Informatics;programtervezõ matematikus;NA;E;2142;214;2;251;Professionals;Software and applications developers and analysts;1;HU102;40;150000
7275;M;Óbudai Egyetem;Engineering Science;villamosmérnöki;Electric engineer;B;2139;213;2;214;Professionals;Engineering professionals (excluding electrotechnology);1;not NUTS important taxpayer;40;320000
7276;F;Nyugat-Magyarországi Egyetem;Economic Science;gazdálkodási és menedzsment;Business management;B;3612;361;3;331;Technicians and associate professionals;Financial and mathematical associate professionals;1;not NUTS important taxpayer;30;230457
7277;F;Debreceni Egyetem;Arts and Humanities;romanisztika;Romance;B;3322;332;3;325;Technicians and associate professionals;Other health associate professionals;1;HU322;40;111518
7278;F;Apor Vilmos Katolikus Fõiskola;Teacher Training;tanító;Teacher;B;2431;243;2;234;Professionals;Primary school and early childhood teachers;1;HU102;30;94900
7279;M;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;építészmérnöki;NA;E;3136;313;3;311;Technicians and associate professionals;Physical and engineering science technicians;1;HU101;40;160000
7280;M;Óbudai Egyetem;Engineering Science;gépészmérnöki;NA;F;4190;419;4;441;Clerical support workers;Other clerical support workers;0;HU333;40;110300
7281;F;Eötvös Loránd Tudományegyetem;Teacher Training;gyógypedagógia;Special education;B;2227;222;2;226;Professionals;Other health professionals;1;HU101;40;140300
7282;F;Debreceni Egyetem;Arts and Humanities;angol nyelv és irodalom;NA;E;4131;413;4;432;Clerical support workers;Material-recording and transport clerks;0;not NUTS important taxpayer;40;301252
7283;F;Eötvös Loránd Tudományegyetem;Social Science;társadalmi tanulmányok;Social studies;B;3910;391;3;333;Technicians and associate professionals;Business services agents;1;HU101;40;175000
7284;F;Budapesti Mûszaki és Gazdaságtudományi Egyetem;Engineering Science;mûszaki menedzser;Technical Manager;B;5133;513;5;513;"Clerical support workers; service and sales workers";Waiters and bartenders;0;HU101;30;13808
7285;F;Budapesti Gazdasági Fõiskola;Economic Science;pénzügy és számvitel;Finance and Accounting;B;3622;362;3;332;Technicians and associate professionals;Sales and purchasing agents and brokers;1;not NUTS important taxpayer;40;190000
7286;M;Debreceni Egyetem;Agricultural Science;mezõgazdasági szakigazgatási szervezõ mérnöki;NA;F;4227;422;4;421;Clerical support workers;"Tellers; money collectors and related clerks";0;not NUTS important taxpayer;40;152460
7287;M;Óbudai Egyetem;Computer Science and Information Technology;mérnökinformatikus;IT  engineer ;B;2122;212;2;215;Professionals;Electrotechnology engineers;1;HU101;40;400000
